Local time,Ask,Bid
17.02.2021 16:30:00.053 GMT+0200,76.313,76.297
17.02.2021 16:30:03.270 GMT+0200,76.312,76.288
17.02.2021 16:30:03.768 GMT+0200,76.313,76.297
17.02.2021 16:30:06.736 GMT+0200,76.302,76.298
17.02.2021 16:30:06.787 GMT+0200,76.302,76.288
17.02.2021 16:30:10.135 GMT+0200,76.312,76.288
17.02.2021 16:30:10.286 GMT+0200,76.302,76.288
17.02.2021 16:30:10.336 GMT+0200,76.312,76.288
17.02.2021 16:30:11.111 GMT+0200,76.303,76.287
17.02.2021 16:30:11.314 GMT+0200,76.312,76.288
17.02.2021 16:30:11.382 GMT+0200,76.303,76.287
17.02.2021 16:30:11.795 GMT+0200,76.313,76.287
17.02.2021 16:30:11.860 GMT+0200,76.303,76.287
17.02.2021 16:30:11.982 GMT+0200,76.282,76.268
17.02.2021 16:30:12.033 GMT+0200,76.293,76.267
17.02.2021 16:30:12.133 GMT+0200,76.293,76.277
17.02.2021 16:30:12.492 GMT+0200,76.302,76.278
17.02.2021 16:30:13.131 GMT+0200,76.302,76.288
17.02.2021 16:30:13.231 GMT+0200,76.312,76.288
17.02.2021 16:30:13.300 GMT+0200,76.302,76.288
17.02.2021 16:30:13.925 GMT+0200,76.312,76.288
17.02.2021 16:30:13.975 GMT+0200,76.303,76.287
17.02.2021 16:30:14.191 GMT+0200,76.313,76.287
17.02.2021 16:30:14.242 GMT+0200,76.302,76.288
17.02.2021 16:30:14.961 GMT+0200,76.312,76.288
17.02.2021 16:30:15.069 GMT+0200,76.312,76.298
17.02.2021 16:30:15.850 GMT+0200,76.312,76.288
17.02.2021 16:30:15.900 GMT+0200,76.302,76.288
17.02.2021 16:30:16.001 GMT+0200,76.303,76.277
17.02.2021 16:30:16.339 GMT+0200,76.302,76.288
17.02.2021 16:30:20.354 GMT+0200,76.302,76.278
17.02.2021 16:30:20.839 GMT+0200,76.303,76.287
17.02.2021 16:30:22.035 GMT+0200,76.312,76.288
17.02.2021 16:30:22.157 GMT+0200,76.313,76.297
17.02.2021 16:30:22.307 GMT+0200,76.303,76.287
17.02.2021 16:30:24.831 GMT+0200,76.292,76.278
17.02.2021 16:30:26.373 GMT+0200,76.302,76.288
17.02.2021 16:30:41.031 GMT+0200,76.313,76.297
17.02.2021 16:30:48.023 GMT+0200,76.302,76.288
17.02.2021 16:30:53.426 GMT+0200,76.293,76.277
17.02.2021 16:30:58.439 GMT+0200,76.282,76.268
17.02.2021 16:31:02.817 GMT+0200,76.282,76.258
17.02.2021 16:31:02.977 GMT+0200,76.272,76.258
17.02.2021 16:31:03.459 GMT+0200,76.282,76.258
17.02.2021 16:31:03.837 GMT+0200,76.272,76.258
17.02.2021 16:31:04.378 GMT+0200,76.282,76.268
17.02.2021 16:31:04.908 GMT+0200,76.282,76.258
17.02.2021 16:31:05.058 GMT+0200,76.273,76.257
17.02.2021 16:31:05.315 GMT+0200,76.282,76.258
17.02.2021 16:31:06.142 GMT+0200,76.273,76.257
17.02.2021 16:31:06.395 GMT+0200,76.282,76.258
17.02.2021 16:31:07.795 GMT+0200,76.283,76.267
17.02.2021 16:31:10.184 GMT+0200,76.292,76.278
17.02.2021 16:31:13.686 GMT+0200,76.282,76.268
17.02.2021 16:31:14.840 GMT+0200,76.282,76.258
17.02.2021 16:31:15.173 GMT+0200,76.283,76.267
17.02.2021 16:31:18.085 GMT+0200,76.282,76.258
17.02.2021 16:31:18.135 GMT+0200,76.273,76.257
17.02.2021 16:31:19.723 GMT+0200,76.283,76.257
17.02.2021 16:31:20.109 GMT+0200,76.283,76.267
17.02.2021 16:31:20.210 GMT+0200,76.273,76.257
17.02.2021 16:31:20.403 GMT+0200,76.282,76.258
17.02.2021 16:31:20.705 GMT+0200,76.283,76.267
17.02.2021 16:31:21.618 GMT+0200,76.273,76.267
17.02.2021 16:31:21.668 GMT+0200,76.272,76.258
17.02.2021 16:31:23.506 GMT+0200,76.282,76.268
17.02.2021 16:31:25.154 GMT+0200,76.293,76.267
17.02.2021 16:31:25.204 GMT+0200,76.292,76.278
17.02.2021 16:31:25.800 GMT+0200,76.282,76.268
