Time,Close,Volume,Open,High,Low
2021.4.13,3400,3315837,3400.85,3432,3395.63
2021.4.12,3379.39,3281798,3355.21,3395.04,3351.15
2021.4.9,3372.2,4341473,3304.7,3372.2,3288.9
2021.4.8,3299.3,2812090,3310.9,3324.5,3292
2021.4.7,3279.39,3346227,3233.8,3303.61,3223.65
2021.4.6,3223.82,2537809,3223.75,3247.31,3217.04
2021.4.5,3226.73,3334882,3173,3235.96,3161.24
2021.4.1,3161,2940318,3117.94,3162.44,3115.55
2021.3.31,3094.08,3093896,3064.06,3119.33,3062.5
2021.3.30,3055.29,2337603,3070.01,3073,3034
2021.3.29,3075.73,2745968,3055.44,3091.25,3028.45
2021.3.26,3052.03,3312924,3044.06,3056.66,2996
2021.3.25,3046.26,3563469,3072.99,3109.78,3037.14
2021.3.24,3087.07,2958981,3151.04,3160.31,3085.15
2021.3.23,3137.5,3817263,3127,3182,3120.85
2021.3.22,3110.87,2902179,3067.85,3126.58,3060.05
2021.3.19,3074.96,4625354,3029.23,3077.29,3016.63
2021.3.18,3027.99,3657027,3101,3116.63,3025
2021.3.17,3135.73,3118584,3073.22,3173.05,3070.22
2021.3.16,3091.86,2538764,3104.97,3128.91,3075.86
2021.3.15,3081.68,2918592,3074.57,3082.24,3032.09
2021.3.12,3089.49,2421888,3075,3098.98,3045.5
2021.3.11,3113.59,2776391,3104.01,3131.78,3082.93
2021.3.10,3057.64,3012489,3098.45,3116.46,3030.05
2021.3.9,3062.85,4030032,3017.99,3090.96,3005.15
2021.3.8,2951.95,4185008,3015,3064.59,2951.31
2021.3.5,3000.46,5388551,3005,3009,2881
2021.3.4,2977.57,5481578,3012,3058.13,2945.43
2021.3.3,3005,3988725,3081.18,3107.78,2995
2021.3.2,3094.53,2595762,3143.47,3163.52,3087.12
2021.3.1,3146.14,2733963,3127.89,3149.56,3097.99
2021.2.26,3092.93,4275930,3095.2,3122.44,3036.7
2021.2.25,3057.16,4533801,3136.74,3178.26,3047.76
2021.2.24,3159.53,3011275,3166.75,3171.23,3125.38
2021.2.23,3194.5,4677222,3127.03,3204.73,3093.6
2021.2.22,3180.74,3515679,3208.13,3232.32,3172.26
2021.2.19,3249.9,4305184,3328.23,3333.5,3245.75
2021.2.18,3328.23,3033607,3282.42,3338,3273.94
2021.2.17,3308.64,3302099,3263.6,3320.91,3259.5
2021.2.16,3268.95,2574721,3254.05,3308.3,3253.59
2021.2.12,3277.71,2335339,3250,3280.25,3233.31
2021.2.11,3262.13,2301417,3292,3292,3248.06
