Time,Close,Open,High,Low
2021.3.12,121.03,120.40,121.17,119.16
2021.3.11,121.96,122.54,123.21,121.26
2021.3.10,119.98,121.69,122.17,119.45
2021.3.9,121.09,119.03,122.06,118.79
2021.3.8,116.36,120.93,121.00,116.21
2021.3.5,121.42,120.98,121.94,117.57
2021.3.4,120.13,121.75,123.60,118.62
2021.3.3,122.06,124.81,125.71,121.84
2021.3.2,125.12,128.41,128.72,125.01
2021.3.1,127.79,123.75,127.93,122.79
2021.2.26,121.26,122.59,124.85,121.20
2021.2.25,120.99,124.68,126.46,120.54
2021.2.24,125.35,124.94,125.56,122.23
2021.2.23,125.86,123.76,126.71,118.39
2021.2.22,126.00,128.01,129.72,125.60
2021.2.19,129.87,130.24,130.71,128.80
2021.2.18,129.71,129.20,130.00,127.41
2021.2.17,130.84,131.25,132.22,129.47
2021.2.16,133.19,135.49,136.01,132.79
2021.2.12,135.37,134.35,135.53,133.69
2021.2.11,135.13,135.90,136.39,133.77
2021.2.10,135.39,136.48,136.99,134.40
2021.2.9,136.01,136.62,137.88,135.85
2021.2.8,136.91,136.03,136.96,134.92
2021.2.5,136.76,137.35,137.42,135.86
2021.2.4,137.39,136.30,137.40,134.59
2021.2.3,133.94,135.76,135.77,133.61
2021.2.2,134.99,135.73,136.31,134.61
2021.2.1,134.14,133.75,135.38,130.93
2021.1.29,131.96,135.83,136.74,130.21
2021.1.28,137.09,139.52,141.99,136.70
2021.1.27,142.06,143.43,144.30,140.41
2021.1.26,143.16,143.60,144.30,141.37
2021.1.25,142.92,143.07,145.09,136.54
2021.1.22,139.07,136.28,139.85,135.02
2021.1.21,136.87,133.80,139.67,133.59
2021.1.20,132.03,128.66,132.49,128.55
2021.1.19,127.83,127.78,128.71,126.94
2021.1.15,127.14,128.78,130.22,127.00
2021.1.14,128.91,130.80,131.00,128.76
2021.1.13,130.89,128.76,131.45,128.49
2021.1.12,128.80,128.50,129.69,126.86
2021.1.11,128.98,129.19,130.17,128.50
2021.1.8,132.05,132.43,132.63,130.23
2021.1.7,130.92,128.36,131.63,127.86
2021.1.6,126.60,127.72,131.05,126.38
2021.1.5,131.01,128.89,131.74,128.43
2021.1.4,129.41,133.52,133.61,126.76
2020.12.31,132.69,134.08,134.74,131.72
2020.12.30,133.72,135.58,135.99,133.40
2020.12.29,134.87,138.05,138.79,134.34
2020.12.28,136.69,133.99,137.34,133.51
2020.12.24,131.97,131.32,133.46,131.10
2020.12.23,130.96,132.16,132.43,130.78
2020.12.22,131.88,131.61,134.41,129.65
2020.12.21,128.23,125.02,128.31,123.45
2020.12.18,126.66,128.96,129.10,126.12
2020.12.17,128.70,128.90,129.58,128.05
2020.12.16,127.81,127.41,128.37,126.56
2020.12.15,127.88,124.34,127.90,124.13
2020.12.14,121.78,122.60,123.35,121.54
2020.12.11,122.41,122.43,122.76,120.55
2020.12.10,123.24,120.50,123.87,120.15
2020.12.9,121.78,124.53,125.95,121.00
2020.12.8,124.38,124.37,124.98,123.09
2020.12.7,123.75,122.31,124.57,122.25
2020.12.4,122.25,122.60,122.86,121.52
2020.12.3,122.94,123.52,123.78,122.21
2020.12.2,123.08,122.02,123.37,120.89
2020.12.1,122.72,121.01,123.47,120.01
2020.11.30,119.05,116.97,120.97,116.81
2020.11.27,116.59,116.57,117.49,116.22
2020.11.25,116.03,115.55,116.75,115.17
2020.11.24,115.17,113.91,115.85,112.59
2020.11.23,113.85,117.18,117.62,113.75
2020.11.20,117.34,118.64,118.77,117.29
2020.11.19,118.64,117.59,119.06,116.81
2020.11.18,118.03,118.61,119.82,118.00
2020.11.17,119.39,119.55,120.67,118.96
2020.11.16,120.30,118.92,120.99,118.15
2020.11.13,119.26,119.44,119.67,117.87
2020.11.12,119.21,119.62,120.53,118.57
2020.11.11,119.49,117.19,119.63,116.44
2020.11.10,115.97,115.55,117.59,114.13
2020.11.9,116.32,120.50,121.99,116.05
2020.11.6,118.69,118.32,119.20,116.13
2020.11.5,119.03,117.95,119.62,116.87
2020.11.4,114.95,114.14,115.59,112.35
2020.11.3,110.44,109.66,111.49,108.73
2020.11.2,108.77,109.11,110.68,107.32
2020.10.30,108.86,111.06,111.99,107.72
2020.10.29,115.32,112.37,116.93,112.20
2020.10.28,111.20,115.05,115.43,111.10
2020.10.27,116.60,115.49,117.28,114.54
2020.10.26,115.05,114.01,116.55,112.88
2020.10.23,115.04,116.39,116.55,114.28
2020.10.22,115.75,117.45,118.04,114.59
2020.10.21,116.87,116.67,118.71,116.45
2020.10.20,117.51,116.20,118.98,115.63
2020.10.19,115.98,119.96,120.42,115.66
2020.10.16,119.02,121.28,121.55,118.81
2020.10.15,120.71,118.72,121.20,118.15
2020.10.14,121.19,121.00,123.03,119.62
2020.10.13,121.10,125.27,125.39,119.65
2020.10.12,124.40,120.06,125.18,119.28
2020.10.9,116.97,115.28,117.00,114.92
2020.10.8,114.97,116.25,116.40,114.59
2020.10.7,115.08,114.62,115.55,114.13
2020.10.6,113.16,115.70,116.12,112.25
2020.10.5,116.50,113.91,116.65,113.55
2020.10.2,113.02,112.89,115.37,112.22
2020.10.1,116.79,117.64,117.72,115.83
2020.9.30,115.81,113.79,117.26,113.62
2020.9.29,114.09,114.55,115.31,113.57
2020.9.28,114.96,115.01,115.32,112.78
2020.9.25,112.28,108.43,112.44,107.67
2020.9.24,108.22,105.17,110.25,105.00
2020.9.23,107.12,111.62,112.11,106.77
2020.9.22,111.81,112.68,112.86,109.16
2020.9.21,110.08,104.54,110.19,103.10
2020.9.18,106.84,110.40,110.88,106.09
2020.9.17,110.34,109.72,112.20,108.71
2020.9.16,112.13,115.23,116.00,112.04
2020.9.15,115.54,118.33,118.83,113.61
2020.9.14,115.36,114.72,115.93,112.80
2020.9.11,112.00,114.57,115.23,110.00
2020.9.10,113.49,120.36,120.50,112.50
2020.9.9,117.32,117.26,119.14,115.26
2020.9.8,112.82,113.95,118.99,112.68
2020.9.4,120.96,120.07,123.70,110.89
2020.9.3,120.88,126.91,128.84,120.50
2020.9.2,131.40,137.59,137.98,127.00
2020.9.1,134.18,132.76,134.80,130.53
2020.8.31,129.04,127.58,131.00,126.00
2020.8.28,124.81,126.01,126.44,124.58
2020.8.27,125.01,127.14,127.49,123.83
2020.8.26,126.52,126.18,126.99,125.08
2020.8.25,124.83,124.70,125.18,123.05
2020.8.24,125.86,128.70,128.79,123.94
2020.8.21,124.37,119.26,124.87,119.25
2020.8.20,118.28,115.75,118.39,115.73
2020.8.19,115.71,115.98,117.16,115.61
2020.8.18,115.56,114.35,116.00,114.01
2020.8.17,114.61,116.06,116.09,113.96
2020.8.14,114.91,114.83,115.00,113.05
2020.8.13,115.01,114.43,116.04,113.93
2020.8.12,113.01,110.50,113.28,110.30
2020.8.11,109.38,111.97,112.48,109.11
2020.8.10,112.73,112.60,113.78,110.00
2020.8.7,111.11,113.21,113.68,110.29
2020.8.6,113.90,110.41,114.41,109.80
2020.8.5,110.06,109.38,110.39,108.90
2020.8.4,109.67,109.13,110.79,108.39
2020.8.3,108.94,108.20,111.64,107.89
2020.7.31,106.26,102.88,106.42,100.83
2020.7.30,96.19,94.19,96.30,93.77
2020.7.29,95.04,93.75,95.23,93.71
2020.7.28,93.25,94.37,94.55,93.25
2020.7.27,94.81,93.71,94.91,93.48
2020.7.24,92.62,90.99,92.97,89.15
2020.7.23,92.85,97.00,97.08,92.01
2020.7.22,97.27,96.69,97.98,96.60
2020.7.21,97.00,99.17,99.25,96.74
2020.7.20,98.36,96.42,98.50,96.06
2020.7.17,96.33,96.99,97.15,95.84
2020.7.16,96.52,96.56,97.41,95.91
2020.7.15,97.73,98.99,99.25,96.49
2020.7.14,97.06,94.84,97.26,93.88
2020.7.13,95.48,97.27,99.96,95.26
2020.7.10,95.92,95.34,95.98,94.71
2020.7.9,95.68,96.26,96.32,94.67
2020.7.8,95.34,94.18,95.38,94.09
2020.7.7,93.17,93.85,94.66,93.06
2020.7.6,93.46,92.50,93.95,92.47
2020.7.2,91.03,91.96,92.62,90.91
2020.7.1,91.03,91.28,91.84,90.98
2020.6.30,91.20,90.02,91.50,90.00
2020.6.29,90.45,88.31,90.54,87.82
2020.6.26,88.41,91.10,91.33,88.26
2020.6.25,91.21,90.18,91.25,89.39
2020.6.24,90.02,91.25,92.20,89.63
2020.6.23,91.63,91.00,93.10,90.57
2020.6.22,89.72,87.84,89.87,87.79
2020.6.19,87.43,88.66,89.14,86.29
2020.6.18,87.93,87.85,88.36,87.31
2020.6.17,87.90,88.79,88.85,87.77
2020.6.16,88.02,87.87,88.30,86.18
2020.6.15,85.75,83.31,86.42,83.15
2020.6.12,84.70,86.18,86.95,83.56
2020.6.11,83.98,87.33,87.77,83.87
2020.6.10,88.21,86.98,88.69,86.52
2020.6.9,86.00,83.04,86.40,83.00
2020.6.8,83.37,82.56,83.40,81.83
2020.6.5,82.88,80.84,82.94,80.81
2020.6.4,80.58,81.10,81.41,80.20
2020.6.3,81.28,81.17,81.55,80.58
2020.6.2,80.84,80.19,80.86,79.73
2020.6.1,80.46,79.44,80.59,79.30
2020.5.29,79.49,79.81,80.29,79.12
2020.5.28,79.56,79.19,80.86,78.91
2020.5.27,79.53,79.04,79.68,78.27
2020.5.26,79.18,80.88,81.06,79.13
2020.5.22,79.72,78.94,79.81,78.84
2020.5.21,79.21,79.67,80.22,78.97
2020.5.20,79.81,79.17,79.88,79.05
2020.5.19,78.29,78.76,79.63,78.25
2020.5.18,78.74,78.29,79.13,77.58
2020.5.15,76.93,75.09,76.98,75.05
2020.5.14,77.39,76.13,77.45,75.38
2020.5.13,76.91,78.04,78.99,75.80
2020.5.12,77.85,79.46,79.92,77.73
2020.5.11,78.75,77.03,79.26,76.81
2020.5.8,77.53,76.41,77.59,76.07
2020.5.7,75.94,75.81,76.29,75.49
2020.5.6,75.16,75.12,75.81,74.72
2020.5.5,74.39,73.77,75.25,73.62
2020.5.4,73.29,72.29,73.42,71.58
2020.5.1,72.27,71.56,74.75,71.46
2020.4.30,73.45,72.49,73.63,72.09
2020.4.29,71.93,71.18,72.42,70.97
2020.4.28,69.65,71.27,71.46,69.55
2020.4.27,70.79,70.45,71.14,69.99
2020.4.24,70.74,69.30,70.75,69.25
2020.4.23,68.76,68.97,70.44,68.72
2020.4.22,69.03,68.40,69.48,68.05
2020.4.21,67.09,69.07,69.31,66.36
2020.4.20,69.23,69.49,70.42,69.21
2020.4.17,70.70,71.17,71.74,69.22
2020.4.16,71.67,71.85,72.05,70.59
2020.4.15,71.11,70.60,71.58,70.16
2020.4.14,71.76,70.00,72.06,69.51
2020.4.13,68.31,67.08,68.43,66.46
2020.4.9,67.00,67.18,67.52,66.18
2020.4.8,66.52,65.69,66.84,65.31
2020.4.7,64.86,67.70,67.93,64.75
2020.4.6,65.62,62.73,65.78,62.35
2020.4.3,60.35,60.70,61.43,59.74
2020.4.2,61.23,60.09,61.29,59.23
2020.4.1,60.23,61.63,62.18,59.78
2020.3.31,63.57,63.90,65.62,63.00
2020.3.30,63.70,62.69,63.88,62.35
2020.3.27,61.94,63.19,63.97,61.76
2020.3.26,64.61,61.63,64.67,61.59
2020.3.25,61.38,62.69,64.56,61.08
2020.3.24,61.72,59.09,61.92,58.58
2020.3.23,56.09,57.02,57.12,53.15
2020.3.20,57.31,61.80,62.96,57.00
2020.3.19,61.20,61.85,63.21,60.65
2020.3.18,61.67,59.94,62.50,59.28
2020.3.17,63.22,61.88,64.40,59.60
2020.3.16,60.55,60.49,64.77,60.00
2020.3.13,69.49,66.22,69.98,63.24
