Time,Close,Open,High,Low
2021.3.12,55.80,55.68,56.10,55.04
2021.3.11,56.24,55.95,56.58,55.46
2021.3.10,55.34,56.78,56.78,54.53
2021.3.9,56.17,54.60,56.97,54.32
2021.3.8,53.49,53.87,55.19,53.45
2021.3.5,53.76,53.88,54.12,51.51
2021.3.4,53.34,54.47,54.89,52.46
2021.3.3,54.60,56.73,56.95,54.48
2021.3.2,56.99,58.64,58.66,56.89
2021.3.1,58.48,57.10,58.70,56.53
2021.2.26,56.42,57.34,57.66,56.25
2021.2.25,56.98,59.40,59.97,56.85
2021.2.24,59.38,60.99,61.05,58.83
2021.2.23,61.37,60.68,61.73,59.82
2021.2.22,61.56,62.10,62.29,60.96
2021.2.19,61.98,63.19,63.36,61.87
2021.2.18,62.80,62.70,63.35,62.22
2021.2.17,63.05,62.58,63.24,62.05
2021.2.16,62.87,63.98,64.00,62.82
2021.2.12,63.01,62.05,63.19,61.94
2021.2.11,62.31,62.60,62.98,61.67
2021.2.10,62.32,62.55,63.22,61.76
2021.2.9,62.23,63.87,63.91,62.12
2021.2.8,63.84,62.60,64.06,62.56
2021.2.5,62.23,61.16,62.82,60.24
2021.2.4,61.12,63.96,64.85,60.67
2021.2.3,58.04,58.10,58.80,57.67
2021.2.2,57.33,58.51,58.78,57.10
2021.2.1,58.47,56.83,58.70,56.65
2021.1.29,56.51,56.22,57.58,55.31
2021.1.28,56.44,58.00,58.86,55.94
2021.1.27,58.35,58.64,60.55,58.05
2021.1.26,59.17,57.09,59.31,56.97
2021.1.25,57.25,57.00,58.38,56.82
2021.1.22,56.46,56.20,56.57,55.64
2021.1.21,56.40,56.30,56.47,55.32
2021.1.20,56.17,57.30,57.54,56.12
2021.1.19,56.98,55.55,57.20,55.44
2021.1.15,55.42,55.29,55.71,54.31
2021.1.14,55.27,55.83,55.83,54.98
2021.1.13,55.71,55.78,56.37,55.36
2021.1.12,56.04,53.98,56.71,53.88
2021.1.11,53.93,54.18,54.41,53.47
2021.1.8,54.48,53.37,54.55,53.23
2021.1.7,53.06,53.42,54.23,53.01
2021.1.6,53.22,51.50,54.29,51.40
2021.1.5,52.03,51.35,52.28,51.06
2021.1.4,51.50,50.48,51.90,50.45
2020.12.31,50.25,50.61,50.81,50.00
2020.12.30,50.55,51.02,51.51,50.47
2020.12.29,50.86,50.65,51.11,50.30
2020.12.28,50.24,50.50,50.55,49.93
2020.12.24,50.12,51.23,51.24,49.94
2020.12.23,51.13,52.00,52.00,51.13
2020.12.22,51.62,51.71,52.02,51.08
2020.12.21,51.57,52.62,52.68,51.17
2020.12.18,53.06,53.10,53.26,52.40
2020.12.17,53.05,53.63,53.96,52.44
2020.12.16,53.65,52.16,54.89,52.16
2020.12.15,52.08,49.96,52.10,49.69
2020.12.14,49.57,49.23,50.50,49.23
2020.12.11,49.13,49.44,49.61,48.67
2020.12.10,49.60,49.40,49.84,48.93
2020.12.9,49.50,49.96,50.18,49.22
2020.12.8,49.89,49.91,50.23,49.28
2020.12.7,50.03,50.91,51.01,49.91
2020.12.4,50.97,50.03,51.19,49.64
2020.12.3,50.29,51.25,51.30,50.11
2020.12.2,51.35,50.52,51.54,50.36
2020.12.1,50.52,50.50,51.46,50.18
2020.11.30,50.43,51.03,51.23,49.36
2020.11.27,51.34,50.94,51.93,50.90
2020.11.25,50.45,50.75,51.03,50.05
2020.11.24,50.53,49.92,51.29,49.83
2020.11.23,49.90,49.18,50.34,49.10
2020.11.20,48.99,49.80,49.88,48.96
2020.11.19,49.78,48.65,50.05,48.56
2020.11.18,48.53,48.07,49.46,48.07
2020.11.17,48.33,48.37,48.90,47.96
2020.11.16,48.55,48.45,49.17,48.01
2020.11.13,48.67,46.90,48.72,46.72
2020.11.12,46.59,48.13,48.17,46.40
2020.11.11,47.71,47.17,48.10,46.81
